FECHA,DAILY_ENERGY_CONSUMPTION_KWH,HOUSEHOLD_TXT,INTERVENTION_BOOLEAN,HOUSEHOLD_SIZE_INT,HOUSEHOLD_INCOME_INT,MEAN_TEMPERATURE_C,MEAN_RELATIVE_HUMIDITY_PERC,MEAN_WIND_SPEED_MS,MAX_TEMPERATURE_C,MEAN_RELATIVE_HUMIDITY_PERC,MAX_WIND_SPEED_MS,MIN_TEMPERATURE_C,MIN_RELATIVE_HUMIDITY_PERC,MIN_WIND_SPEED_MS,PUBLIC_HOLIDAY_BOOLEAN,SCHOOL_HOLIDAY_BOOLEAN,HOUSEHOLD_NET_SOLAR_RADIATION_kWh,SIMULATED_ENERGY_CONSUMPTION_kWh,DAY_OF_THE_WEEK_INT,WEEKDAY_INT,ENTHALPY_GRADIENT_COOLING_DEHUM_kJperKg
2020-10-05,7.5878999999999985,H99X280,0,3,12000,28.99999999999999,75.6083333333333,2.004166666666667,31.79999999999999,88.49999999999999,5.200000000000001,27.0,62.30000000000002,0.7,0,1,3420.453,125.59368953313749,4,1,37.17945577899742
2020-10-05,6.413099999999997,H16X279,1,3,12000,28.99999999999999,75.6083333333333,2.004166666666667,31.79999999999999,88.49999999999999,5.200000000000001,27.0,62.30000000000002,0.7,0,1,3365.31,124.68436910719612,4,1,37.17945577899742
2020-10-05,8.7656,H22X279,1,2,9000,28.99999999999999,75.6083333333333,2.004166666666667,31.79999999999999,88.49999999999999,5.200000000000001,27.0,62.30000000000002,0.7,0,1,3365.31,124.68436910719612,4,1,37.17945577899742
2020-10-05,3.7355,H65X279,1,3,12000,28.99999999999999,75.6083333333333,2.004166666666667,31.79999999999999,88.49999999999999,5.200000000000001,27.0,62.30000000000002,0.7,0,1,3365.31,124.68436910719612,4,1,37.17945577899742
2020-10-05,19.6758,H88X278,0,3,15000,28.99999999999999,75.6083333333333,2.004166666666667,31.79999999999999,88.49999999999999,5.200000000000001,27.0,62.30000000000002,0.7,0,1,3365.31,124.68436910719612,4,1,37.17945577899742
2020-10-05,3.3551716975033834,H26X279,1,3,12000,28.99999999999999,75.6083333333333,2.004166666666667,31.79999999999999,88.49999999999999,5.200000000000001,27.0,62.30000000000002,0.7,0,1,2058.884,141.78407707674538,4,1,37.17945577899742
2020-10-05,19.5771,H68X277,1,3,12000,28.99999999999999,75.6083333333333,2.004166666666667,31.79999999999999,88.49999999999999,5.200000000000001,27.0,62.30000000000002,0.7,0,1,2058.884,141.78407707674538,4,1,37.17945577899742
2020-10-05,1.4270999999999998,H79X301,0,3,9000,28.99999999999999,75.6083333333333,2.004166666666667,31.79999999999999,88.49999999999999,5.200000000000001,27.0,62.30000000000002,0.7,0,1,2058.884,141.78407707674538,4,1,37.17945577899742
2020-10-05,4.4957,H27X279,0,3,2500,28.99999999999999,75.6083333333333,2.004166666666667,31.79999999999999,88.49999999999999,5.200000000000001,27.0,62.30000000000002,0.7,0,1,1341.371,125.67238248741968,4,1,37.17945577899742
2020-10-05,34.1098,H26X278,1,3,12000,28.99999999999999,75.6083333333333,2.004166666666667,31.79999999999999,88.49999999999999,5.200000000000001,27.0,62.30000000000002,0.7,0,1,433.642,153.60069101173045,4,1,37.17945577899742
